profile_name;group_size;friend_count;friends_target;friends_miss;active_period;active_period_month;posts_per_month;used_grp_key_cnt;grp_memberships;size_keys_file_kb
purplebutterfly650;30;398;398;0;8 years 3 month 5 days;99;5.05050505050505;126;0 0 0 20 20 20 20 20 3 20 20 20 20 20 20 20 20 20 20 3 20 20 20 20 20 20 20 20 20 7;803
tinyelephant166;16;297;297;0;11 years 7 month 1 days;139;3.597122302158273;98;0 20 20 20 20 20 20 20 20 20 20 20 20 20 20 17;691
smalltiger653;34;338;338;0;8 years 8 month 11 days;104;4.8076923076923075;146;0 0 0 0 20 20 2 20 20 20 20 20 20 20 11 20 20 20 20 20 20 20 20 20 5 20 20 20 20 20 20 20 20 16;851
orangeduck642;23;304;304;0;10 years 7 month 20 days;127;3.937007874015748;137;0 0 0 20 20 20 15 20 20 20 20 20 20 20 16 20 20 20 20 20 20 20 10;781
goldenostrich440;20;266;266;0;10 years 6 month 23 days;126;3.9682539682539684;116;0 0 0 20 20 20 18 20 20 20 20 20 20 13 20 20 20 20 20 14;653
whiteladybug953;22;299;299;0;12 years 11 month 11 days;155;3.225806451612903;138;0 0 0 20 20 20 20 11 20 20 20 20 20 20 11 20 20 20 20 20 20 11;792
bluetiger732;20;345;345;0;10 years 1 month 14 days;121;4.132231404958677;114;0 0 20 20 20 20 20 20 20 20 20 8 20 20 20 20 20 20 20 17;702
purplesnake363;30;287;287;0;11 years 11 month 20 days;143;3.4965034965034967;190;0 0 0 0 20 15 20 20 20 20 20 20 20 4 20 20 20 20 20 20 20 9 20 20 20 20 20 20 20 10;1052
redswan247;15;265;265;0;12 years 1 month 26 days;145;3.4482758620689653;92;0 20 20 20 20 20 20 20 20 20 20 20 20 20 5;602
crazyfrog691;23;281;281;0;8 years 5 month 23 days;101;4.9504950495049505;106;0 0 0 20 20 20 10 20 20 20 20 20 20 20 2 20 20 20 20 20 20 20 7;582
angryswan626;18;299;299;0;8 years 11 month 6 days;107;4.672897196261682;81;0 0 20 20 20 20 20 20 20 4 20 20 20 20 20 20 20 15;472
redpanda392;30;289;289;0;7 years 9 month 13 days;93;5.376344086021505;118;0 0 0 0 20 20 11 20 20 20 20 20 20 20 4 20 20 20 20 20 20 20 2 20 20 20 20 20 20 18;663
goldenfish557;20;255;255;0;7 years 0 month 6 days;84;5.9523809523809526;86;0 0 0 20 20 20 20 20 20 20 20 20 10 20 20 20 20 20 20 9;480
greendog958;19;238;238;0;12 years 7 month 11 days;151;3.3112582781456954;132;0 0 0 20 20 17 20 20 20 20 20 16 20 20 20 20 20 20 6;684
greenpanda341;25;333;333;0;12 years 8 month 13 days;152;3.289473684210526;145;0 0 0 20 20 20 18 20 20 20 20 20 20 20 20 7 20 20 20 20 20 20 20 20 13;829
tinygorilla771;37;386;386;0;10 years 6 month 8 days;126;3.9682539682539684;212;0 0 0 0 20 20 16 20 20 20 20 20 20 20 20 20 15 20 20 20 20 20 20 20 20 20 8 20 20 20 20 20 20 20 20 20 20;1317
ticklishswan871;15;237;237;0;9 years 3 month 11 days;111;4.504504504504505;79;0 0 20 20 20 20 20 20 11 20 20 20 20 20 6;443
lazysnake695;21;288;288;0;10 years 7 month 11 days;127;3.937007874015748;128;0 0 0 20 20 20 15 20 20 20 20 20 20 11 20 20 20 20 20 20 16;715
lazycat160;26;356;356;0;10 years 8 month 4 days;128;3.90625;162;0 0 0 20 20 20 18 20 20 20 20 20 20 20 20 20 19 20 20 20 20 20 20 20 20 18;943
brownleopard158;14;234;234;0;12 years 10 month 15 days;154;3.2467532467532467;105;0 0 20 20 20 20 20 16 20 20 20 20 20 18;576
purplepanda175;24;203;203;0;10 years 6 month 11 days;126;3.9682539682539684;170;0 0 0 0 20 10 20 20 20 20 20 8 20 20 20 20 20 2 20 20 20 20 20 5;870
lazypeacock460;16;261;261;0;14 years 3 month 12 days;171;2.9239766081871346;110;0 0 20 20 20 20 20 20 18 20 20 20 20 20 20 3;626
goldenbird594;18;338;338;0;8 years 10 month 12 days;106;4.716981132075472;68;0 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 18;502
yellowwolf676;20;254;254;0;10 years 3 month 16 days;123;4.065040650406504;118;0 0 0 20 20 20 1 20 20 20 20 20 20 12 20 20 20 20 20 15;624
tinykoala869;19;234;234;0;9 years 6 month 15 days;114;4.385964912280702;97;0 0 0 20 20 20 12 20 20 20 20 20 14 20 20 20 20 20 1;494
sadbutterfly876;19;309;309;0;11 years 2 month 27 days;134;3.7313432835820897;114;0 0 20 20 20 20 20 20 20 20 6 20 20 20 20 20 20 20 3;684
lazydog906;24;324;324;0;12 years 1 month 25 days;145;3.4482758620689653;148;0 0 0 20 20 20 20 16 20 20 20 20 20 20 20 11 20 20 20 20 20 20 20 1;807
happygorilla383;17;303;303;0;9 years 3 month 19 days;111;4.504504504504505;68;0 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 3;488
yellowpanda598;20;347;347;0;9 years 4 month 4 days;112;4.464285714285714;85;0 0 20 20 20 20 20 20 20 20 15 20 20 20 20 20 20 20 20 12;535
brownmeercat551;29;377;377;0;14 years 8 month 25 days;176;2.840909090909091;177;0 0 0 20 20 20 20 7 20 20 20 20 20 20 20 20 20 20 6 20 20 20 20 20 20 20 20 20 9;1060
ticklishbird800;27;343;343;0;11 years 2 month 1 days;134;3.7313432835820897;154;0 0 0 20 20 20 6 20 20 20 20 20 20 20 20 20 1 20 20 20 20 20 20 20 20 20 15;901
sadbird573;18;334;334;0;10 years 7 month 21 days;127;3.937007874015748;96;0 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 14;673
smallpeacock727;21;371;371;0;10 years 0 month 5 days;120;4.166666666666667;110;0 0 20 20 20 20 20 20 20 20 20 20 18 20 20 20 20 20 20 20 13;723
organicwolf173;20;334;334;0;8 years 9 month 11 days;105;4.761904761904762;87;0 0 20 20 20 20 20 20 20 13 20 20 20 20 20 20 20 20 20 1;530
organicgorilla172;16;290;290;0;10 years 1 month 6 days;121;4.132231404958677;87;0 20 20 20 20 20 20 20 20 20 20 20 20 20 20 10;621
tinykoala653;25;340;340;0;12 years 2 month 29 days;146;3.4246575342465753;158;0 0 0 20 20 20 18 20 20 20 20 20 20 20 20 4 20 20 20 20 20 20 20 20 9;876
blueelephant128;27;261;261;0;12 years 4 month 27 days;148;3.3783783783783785;186;0 0 0 0 20 13 20 20 20 20 20 20 15 20 20 20 20 20 20 16 20 20 20 20 20 20 2;993
goldenpanda995;17;277;277;0;10 years 11 month 8 days;131;3.816793893129771;103;0 0 20 20 20 20 20 20 20 1 20 20 20 20 20 20 16;611
lazytiger706;25;322;322;0;8 years 8 month 7 days;104;4.8076923076923075;107;0 0 0 20 20 20 20 8 20 20 20 20 20 20 20 20 10 20 20 20 20 20 20 20 13;605
ticklishswan420;17;285;285;0;10 years 7 month 24 days;127;3.937007874015748;106;0 0 20 20 20 20 20 20 15 20 20 20 20 20 20 20 10;625
ticklishmouse981;15;278;278;0;13 years 2 month 8 days;158;3.1645569620253164;100;0 20 20 20 20 20 20 20 20 20 20 20 20 20 18;695
whitegoose729;17;276;276;0;13 years 0 month 7 days;156;3.2051282051282053;114;0 0 20 20 20 20 20 20 8 20 20 20 20 20 20 20 8;635
redkoala931;20;251;251;0;9 years 6 month 9 days;114;4.385964912280702;103;0 0 0 20 20 18 20 20 20 20 20 20 5 20 20 20 20 20 20 8;525
whitesnake195;19;223;223;0;8 years 11 month 6 days;107;4.672897196261682;101;0 0 0 20 20 8 20 20 20 20 20 16 20 20 20 20 20 20 4;512
ticklishlion707;15;238;238;0;8 years 8 month 4 days;104;4.8076923076923075;72;0 0 20 20 20 20 20 17 20 20 20 20 20 20 1;400
lazyfish480;14;221;221;0;11 years 5 month 24 days;137;3.6496350364963503;97;0 0 20 20 20 20 20 2 20 20 20 20 20 19;510
tinypanda402;22;296;296;0;14 years 10 month 1 days;178;2.808988764044944;185;0 0 0 20 20 20 6 20 20 20 20 20 20 19 20 20 20 20 20 20 20 14;1025
bigswan862;13;218;218;0;10 years 2 month 4 days;122;4.098360655737705;89;0 0 20 20 20 20 18 20 20 20 20 20 20;474
brownelephant307;18;302;302;0;9 years 1 month 18 days;109;4.587155963302752;86;0 0 20 20 20 20 20 20 20 14 20 20 20 20 20 20 20 8;517
heavytiger362;21;352;352;0;13 years 5 month 5 days;161;3.1055900621118013;122;0 0 20 20 20 20 20 20 20 20 20 20 1 20 20 20 20 20 20 20 11;762
tinyrabbit891;28;360;360;0;7 years 7 month 5 days;91;5.4945054945054945;101;0 0 0 20 20 20 20 10 20 20 20 20 20 20 20 20 20 3 20 20 20 20 20 20 20 20 20 5;613
brownbird564;30;293;293;0;11 years 4 month 16 days;136;3.676470588235294;167;0 0 0 0 20 18 20 20 20 20 20 20 20 8 20 20 20 20 20 20 20 18 20 20 20 20 20 20 20 2;930
beautifulfrog335;18;301;301;0;9 years 1 month 29 days;109;4.587155963302752;80;0 0 20 20 20 20 20 20 20 11 20 20 20 20 20 20 20 10;485
crazyswan689;21;386;386;0;8 years 6 month 28 days;102;4.901960784313726;80;0 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 6;597
silverladybug851;18;292;292;0;10 years 7 month 8 days;127;3.937007874015748;110;0 0 20 20 20 20 20 20 20 9 20 20 20 20 20 20 20 3;660
orangetiger894;23;310;310;0;12 years 7 month 12 days;151;3.3112582781456954;139;0 0 0 20 20 20 18 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 5;796
blueduck664;20;277;277;0;9 years 1 month 0 days;109;4.587155963302752;94;0 0 0 20 20 20 17 20 20 20 20 20 20 14 20 20 20 20 20 20;506
ticklishswan754;15;262;262;0;15 years 8 month 21 days;188;2.6595744680851063;119;0 20 20 20 20 20 20 20 20 20 20 20 20 20 2;797
beautifulelephant262;17;282;282;0;8 years 9 month 9 days;105;4.761904761904762;77;0 0 20 20 20 20 20 20 19 20 20 20 20 20 20 20 3;479
tinyzebra116;31;322;322;0;10 years 2 month 21 days;122;4.098360655737705;171;0 0 0 0 20 20 9 20 20 20 20 20 20 20 15 20 20 20 20 20 20 20 17 20 20 20 20 20 20 20 13;995
goldenbird341;20;339;339;0;12 years 5 month 20 days;149;3.3557046979865772;127;0 0 20 20 20 20 20 20 20 20 14 20 20 20 20 20 20 20 20 5;736
bluemouse550;21;273;273;0;9 years 10 month 20 days;118;4.237288135593221;135;0 0 0 20 20 20 10 20 20 20 20 20 20 18 20 20 20 20 20 20 20;726
purplekoala370;18;234;234;0;10 years 0 month 24 days;120;4.166666666666667;116;0 0 0 20 20 19 20 20 20 20 20 20 20 20 20 20 20 12;613
orangegoose784;33;331;331;0;12 years 7 month 27 days;151;3.3112582781456954;198;0 0 0 0 20 16 20 20 20 20 20 20 20 20 5 20 20 20 20 20 20 20 20 2 20 20 20 20 20 20 20 20 8;1119
sadrabbit335;29;295;295;0;10 years 10 month 19 days;130;3.8461538461538463;179;0 0 0 0 20 8 20 20 20 20 20 20 20 16 20 20 20 20 20 20 20 20 20 20 20 20 20 20 15;993
beautifullion255;23;314;314;0;12 years 5 month 20 days;149;3.3557046979865772;162;0 0 0 20 20 20 18 20 20 20 20 20 20 20 19 20 20 20 20 20 20 20 20;926
bluetiger857;37;396;396;0;10 years 7 month 20 days;127;3.937007874015748;197;0 0 0 0 20 19 20 20 20 20 20 20 20 20 20 16 20 20 20 20 20 20 20 20 20 20 8 20 20 20 20 20 20 20 20 20 16;1203
beautifulostrich974;20;267;267;0;8 years 9 month 22 days;105;4.761904761904762;92;0 0 0 20 20 20 16 20 20 20 20 20 20 7 20 20 20 20 20 19;531
yellowgoose997;21;389;389;0;10 years 1 month 26 days;121;4.132231404958677;105;0 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 9;790
silverostrich585;21;264;264;0;9 years 9 month 21 days;117;4.273504273504273;123;0 0 0 20 20 12 20 20 20 20 20 20 16 20 20 20 20 20 20 20 5;689
angrybutterfly762;23;296;296;0;10 years 9 month 2 days;129;3.875968992248062;150;0 0 0 20 20 20 17 20 20 20 20 20 20 20 9 20 20 20 20 20 20 20 14;857
blackgoose278;21;393;393;0;10 years 0 month 8 days;120;4.166666666666667;102;0 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 13;763
angryrabbit248;15;255;255;0;19 years 4 month 0 days;232;2.1551724137931036;147;0 0 20 20 20 20 20 20 20 20 20 20 20 20 15;810
bluesnake496;22;299;299;0;11 years 0 month 18 days;132;3.787878787878788;129;0 0 0 20 20 20 17 20 20 20 20 20 20 20 3 20 20 20 20 20 20 18;734
crazydog275;20;333;333;0;7 years 8 month 27 days;92;5.434782608695652;83;0 0 20 20 20 20 20 20 20 20 12 20 20 20 20 20 20 20 20 1;495
orangecat533;22;282;282;0;9 years 6 month 27 days;114;4.385964912280702;101;0 0 0 20 20 20 10 20 20 20 20 20 20 16 20 20 20 20 20 20 20 4;560
orangebutterfly585;18;217;217;0;14 years 3 month 11 days;171;2.9239766081871346;137;0 0 0 20 20 15 20 20 20 20 20 12 20 20 20 20 20 8;706
goldentiger379;19;358;358;0;12 years 11 month 26 days;155;3.225806451612903;108;0 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 18;798
crazymeercat686;21;387;387;0;11 years 9 month 0 days;141;3.5460992907801416;112;0 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 7;845
silverbutterfly791;18;295;295;0;10 years 8 month 11 days;128;3.90625;116;0 0 20 20 20 20 20 20 20 4 20 20 20 20 20 20 20 11;703
brownwolf526;22;293;293;0;7 years 6 month 17 days;90;5.555555555555555;83;0 0 0 20 20 20 7 20 20 20 20 20 20 20 17 20 20 20 20 20 20 16;478
yellowfrog643;15;231;231;0;14 years 7 month 6 days;175;2.857142857142857;113;0 0 20 20 20 20 20 20 2 20 20 20 20 20 9;611
brownrabbit281;23;395;395;0;11 years 8 month 21 days;140;3.5714285714285716;134;0 0 20 20 20 20 20 20 20 20 20 3 20 20 20 20 20 20 20 20 20 20 12;833
beautifulbird133;14;244;244;0;9 years 0 month 11 days;108;4.62962962962963;68;0 20 20 20 20 20 20 20 20 20 20 20 20 4;457
brownfish499;15;262;262;0;11 years 3 month 25 days;135;3.7037037037037037;93;0 20 20 20 20 20 20 20 20 20 20 20 20 20 2;613
bluefrog607;21;264;264;0;14 years 9 month 1 days;177;2.824858757062147;154;0 0 0 20 20 15 20 20 20 20 20 20 20 7 20 20 20 20 20 20 12;791
smallwolf147;21;396;396;0;15 years 3 month 11 days;183;2.73224043715847;142;0 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 16;1049
ticklishtiger684;21;263;263;0;12 years 1 month 20 days;145;3.4482758620689653;144;0 0 0 20 20 20 5 20 20 20 20 20 20 12 20 20 20 20 20 20 10;781
happypeacock157;13;211;211;0;9 years 4 month 6 days;112;4.464285714285714;74;0 0 20 20 20 20 20 20 20 20 20 20 11;367
ticklishwolf521;24;320;320;0;10 years 11 month 21 days;131;3.816793893129771;135;0 0 0 20 20 20 18 20 20 20 20 20 20 20 20 3 20 20 20 20 20 20 20 17;795
lazymeercat387;31;302;302;0;10 years 10 month 8 days;130;3.8461538461538463;180;0 0 0 0 20 20 1 20 20 20 20 20 20 20 12 20 20 20 20 20 20 20 12 20 20 20 20 20 20 20 6;1020
redcat800;22;403;403;0;11 years 7 month 11 days;139;3.597122302158273;110;0 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 3;800
tinymouse560;18;299;299;0;12 years 4 month 14 days;148;3.3783783783783785;114;0 0 20 20 20 20 20 20 12 20 20 20 20 20 20 20 20 7;662
tinywolf632;24;308;308;0;11 years 11 month 15 days;143;3.4965034965034967;146;0 0 0 20 20 20 20 6 20 20 20 20 20 20 20 13 20 20 20 20 20 20 20 4;806
bigostrich736;17;277;277;0;8 years 0 month 28 days;96;5.208333333333333;70;0 0 20 20 20 20 20 20 20 2 20 20 20 20 20 20 15;414
whitefish294;23;279;279;0;17 years 4 month 10 days;208;2.4038461538461537;203;0 0 0 20 20 20 2 20 20 20 20 20 20 20 8 20 20 20 20 20 20 20 7;1067
angryostrich674;19;321;321;0;9 years 7 month 11 days;115;4.3478260869565215;88;0 0 20 20 20 20 20 20 20 20 12 20 20 20 20 20 20 20 9;533
beautifulladybug724;17;210;210;0;14 years 10 month 15 days;178;2.808988764044944;146;0 0 0 20 20 11 20 20 20 20 20 10 20 20 20 20 15;717
silverzebra445;17;264;264;0;8 years 7 month 21 days;103;4.854368932038835;80;0 0 20 20 20 20 20 20 2 20 20 20 20 20 20 20 2;459
greenelephant182;15;243;243;0;8 years 1 month 19 days;97;5.154639175257732;63;0 0 20 20 20 20 20 20 20 20 20 20 20 20 3;370
greenwolf832;28;268;268;0;10 years 2 month 9 days;122;4.098360655737705;155;0 0 0 0 20 4 20 20 20 20 20 20 19 20 20 20 20 20 20 20 6 20 20 20 20 20 20 9;850
orangepeacock506;25;343;343;0;10 years 6 month 5 days;126;3.9682539682539684;127;0 0 0 20 20 20 14 20 20 20 20 20 20 20 20 18 20 20 20 20 20 20 20 20 20;803
redbird805;19;317;317;0;10 years 9 month 18 days;129;3.875968992248062;112;0 0 20 20 20 20 20 20 20 20 6 20 20 20 20 20 20 20 11;647
yellowcat349;20;344;344;0;11 years 0 month 25 days;132;3.787878787878788;110;0 0 20 20 20 20 20 20 20 20 13 20 20 20 20 20 20 20 20 11;670
organicrabbit208;21;262;262;0;10 years 6 month 10 days;126;3.9682539682539684;129;0 0 0 20 20 20 5 20 20 20 20 20 14 20 20 20 20 20 20 20 5;715
ticklishleopard125;29;278;278;0;9 years 3 month 20 days;111;4.504504504504505;115;0 0 0 0 20 15 20 20 20 20 20 20 20 15 20 20 20 20 20 20 20 2 20 20 20 20 20 20 6;654
organicleopard404;16;268;268;0;13 years 10 month 18 days;166;3.0120481927710845;111;0 0 20 20 20 20 20 20 14 20 20 20 20 20 20 14;628
blackbutterfly147;17;316;316;0;12 years 8 month 15 days;152;3.289473684210526;97;0 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 16;708
smallgoose420;15;272;272;0;11 years 1 month 18 days;133;3.7593984962406015;86;0 20 20 20 20 20 20 20 20 20 20 20 20 20 12;581
goldencat474;20;349;349;0;7 years 0 month 4 days;84;5.9523809523809526;72;0 0 20 20 20 20 20 20 20 20 19 20 20 20 20 20 20 20 20 10;468
redswan319;18;300;300;0;12 years 1 month 16 days;145;3.4482758620689653;107;0 0 20 20 20 20 20 20 20 14 20 20 20 20 20 20 20 6;619
sadkoala322;21;362;362;0;9 years 1 month 6 days;109;4.587155963302752;88;0 0 20 20 20 20 20 20 20 20 16 20 20 20 20 20 20 20 20 20 6;546
blacksnake955;19;321;321;0;8 years 3 month 14 days;99;5.05050505050505;86;0 0 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 1;516
biggoose169;37;372;372;0;12 years 2 month 22 days;146;3.4246575342465753;223;0 0 0 0 20 20 9 20 20 20 20 20 20 20 20 20 13 20 20 20 20 20 20 20 20 20 4 20 20 20 20 20 20 20 20 20 14;1294
angrycat355;15;256;256;0;9 years 9 month 12 days;117;4.273504273504273;83;0 0 20 20 20 20 20 19 20 20 20 20 20 20 17;448
angryfrog130;27;360;360;0;12 years 6 month 3 days;150;3.3333333333333335;150;0 0 0 20 20 20 20 15 20 20 20 20 20 20 20 20 20 3 20 20 20 20 20 20 20 20 7;888
beautifulwolf822;20;353;353;0;12 years 0 month 16 days;144;3.4722222222222223;116;0 0 20 20 20 20 20 20 20 20 20 18 20 20 20 20 20 20 20 15;741
goldenkoala691;17;289;289;0;9 years 0 month 4 days;108;4.62962962962963;73;0 0 20 20 20 20 20 20 20 18 20 20 20 20 20 20 11;433
lazygoose682;17;275;275;0;9 years 6 month 11 days;114;4.385964912280702;69;0 0 20 20 20 20 20 20 20 11 20 20 20 20 20 20 4;416
happytiger693;23;410;410;0;12 years 9 month 4 days;153;3.2679738562091503;134;0 0 20 20 20 20 20 20 20 20 20 20 17 20 20 20 20 20 20 20 20 20 13;841
blacklion968;17;285;285;0;14 years 3 month 21 days;171;2.9239766081871346;121;0 0 20 20 20 20 20 20 20 5 20 20 20 20 20 20 20;687
bigcat838;16;264;264;0;7 years 4 month 25 days;88;5.681818181818182;62;0 0 20 20 20 20 20 20 9 20 20 20 20 20 20 15;354
organicduck122;23;280;280;0;14 years 6 month 18 days;174;2.8735632183908044;158;0 0 0 20 20 20 2 20 20 20 20 20 20 20 8 20 20 20 20 20 20 20 7;856
whitesnake892;17;306;306;0;7 years 7 month 8 days;91;5.4945054945054945;61;0 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 6;437
smalllion406;29;364;364;0;11 years 6 month 19 days;138;3.6231884057971016;166;0 0 0 20 20 20 20 1 20 20 20 20 20 20 20 20 20 8 20 20 20 20 20 20 20 20 20 20 2;969
crazyostrich321;19;320;320;0;11 years 5 month 26 days;137;3.6496350364963503;115;0 0 20 20 20 20 20 20 20 20 6 20 20 20 20 20 20 20 14;678
blackelephant743;35;354;354;0;8 years 7 month 8 days;103;4.854368932038835;146;0 0 0 0 20 16 20 20 20 20 20 20 20 20 20 9 20 20 20 20 20 20 20 20 20 5 20 20 20 20 20 20 20 20 8;875
goldenkoala262;11;197;197;0;14 years 7 month 1 days;175;2.857142857142857;90;0 20 20 20 20 20 20 20 20 20 17;552
silverkoala284;31;306;306;0;10 years 3 month 21 days;123;4.065040650406504;173;0 0 0 0 20 20 20 20 20 20 20 20 20 20 5 20 20 20 20 20 20 20 13 20 20 20 20 20 20 20 8;1003
happykoala781;17;291;291;0;12 years 4 month 2 days;148;3.3783783783783785;105;0 0 20 20 20 20 20 20 20 19 20 20 20 20 20 20 12;609
tinylion177;23;306;306;0;11 years 0 month 29 days;132;3.787878787878788;143;0 0 0 20 20 20 17 20 20 20 20 20 20 20 13 20 20 20 20 20 20 20 11;784
heavyfrog663;22;304;304;0;20 years 8 month 28 days;248;2.0161290322580645;219;0 0 0 20 20 20 17 20 20 20 20 20 20 20 13 20 20 20 20 20 20 19;1219
bluecat479;23;279;279;0;9 years 10 month 4 days;118;4.237288135593221;119;0 0 0 20 20 20 6 20 20 20 20 20 20 20 1 20 20 20 20 20 20 20 7;626
bigbird144;16;269;269;0;17 years 11 month 17 days;215;2.3255813953488373;146;0 0 20 20 20 20 20 20 19 20 20 20 20 20 20 10;773
whitefrog151;25;319;319;0;13 years 6 month 6 days;162;3.0864197530864197;152;0 0 0 20 20 20 20 3 20 20 20 20 20 20 20 6 20 20 20 20 20 20 20 20 1;822
bigelephant247;20;350;350;0;9 years 8 month 28 days;116;4.310344827586207;86;0 0 20 20 20 20 20 20 20 20 17 20 20 20 20 20 20 20 20 13;540
beautifulfish776;19;328;328;0;8 years 11 month 24 days;107;4.672897196261682;88;0 0 20 20 20 20 20 20 20 14 20 20 20 20 20 20 20 20 14;535
redzebra335;29;306;306;0;8 years 4 month 23 days;100;5.0;124;0 0 0 0 20 20 9 20 20 20 20 20 20 11 20 20 20 20 20 20 20 15 20 20 20 20 20 20 11;682
browngorilla172;18;307;307;0;12 years 9 month 0 days;153;3.2679738562091503;114;0 0 20 20 20 20 20 20 20 11 20 20 20 20 20 20 20 16;657
redelephant856;24;308;308;0;16 years 10 month 3 days;202;2.4752475247524752;193;0 0 0 20 20 20 20 10 20 20 20 20 20 20 20 9 20 20 20 20 20 20 20 7;1064
tinytiger589;26;334;334;0;10 years 1 month 9 days;121;4.132231404958677;143;0 0 0 20 20 20 14 20 20 20 20 20 20 20 20 20 4 20 20 20 20 20 20 20 20 19;830
happyostrich140;16;270;270;0;8 years 1 month 17 days;97;5.154639175257732;74;0 0 20 20 20 20 20 20 20 20 20 20 20 20 20 10;427
bigostrich452;21;355;355;0;10 years 2 month 20 days;122;4.098360655737705;114;0 0 20 20 20 20 20 20 20 20 20 6 20 20 20 20 20 20 20 20 9;694
brownlion185;18;314;314;0;10 years 0 month 11 days;120;4.166666666666667;107;0 0 20 20 20 20 20 20 20 16 20 20 20 20 20 20 20 18;623
crazybear834;36;375;375;0;9 years 0 month 9 days;108;4.62962962962963;148;0 0 0 0 20 20 8 20 20 20 20 20 20 20 20 20 20 8 20 20 20 20 20 20 20 20 10 20 20 20 20 20 20 20 20 16;885
silvergoose646;18;325;325;0;10 years 5 month 20 days;125;4.0;97;0 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 5;693
